Feature,Mean |SHAP|,Mean SHAP,Direction
carb_intake,0.25594457532931525,-0.007375008379057039,Decreases Risk
premeal_carb,0.24598902863065136,-0.009125559252669068,Decreases Risk
total_macros,0.23757589878959398,-0.006221856845460706,Decreases Risk
insulin_dose,0.18531663288375472,-0.009956673909659063,Decreases Risk
carb_macro_pct,0.1787810125472694,-0.007946250775426072,Decreases Risk
carb_gi,0.1442561225534179,-0.011282133664422182,Decreases Risk
activity_bmi,0.14307412792030408,0.013588245005636917,Increases Risk
physical_activity,0.1325220442756409,0.026478965290333445,Increases Risk
protein_macro_pct,0.12900550356812573,-0.001409935268792077,Decreases Risk
fat_macro_pct,0.11104690914328526,-0.00684797451261586,Decreases Risk
stress_level,0.10178965287992292,0.019504175739258278,Increases Risk
stress_sleep,0.09926110608624163,0.015947425459108298,Increases Risk
insulin_carb,0.09574616623080226,-0.02138011811208653,Decreases Risk
fiber_intake,0.08947820752377274,-0.002545910033310857,Decreases Risk
risk_adherence,0.08304198196552802,-0.004220992544313747,Decreases Risk
meal_risk_score,0.08304198196552802,-0.004220992544313747,Decreases Risk
portion_size,0.0792536974662,-0.016170792764321838,Decreases Risk
bmi_category_Obese,0.07519061073783749,0.0007426966686866691,Increases Risk
gender_Male,0.07313344184390874,0.0001467776699793427,Increases Risk
protein_carb_ratio,0.06899436753506438,-0.0076266942947118815,Decreases Risk
pre_meal_glucose,0.06778987603510567,0.002219836281349031,Increases Risk
fiber_carb_ratio,0.0648788338210448,-0.012332324145553557,Decreases Risk
high_lifestyle_risk,0.064291566953273,0.005538198940736341,Increases Risk
sugar_gl,0.0638283646322825,-0.011627505817907469,Decreases Risk
sugar_intake,0.06226947477472064,0.004430026368324296,Increases Risk
fat_carb_ratio,0.05878612539099253,-0.006240607867706918,Decreases Risk
smoking_status_Yes,0.057975352774011904,-0.002126235431809726,Decreases Risk
smokes,0.057975352774011904,-0.002126235431809726,Decreases Risk
diabetes_type_Type 2,0.05766391008685633,-0.0023801834102995228,Decreases Risk
sugar_carb_ratio,0.057531821675944186,-0.014770823302535619,Decreases Risk
glycemic_index,0.051826312697821224,0.004093506554753832,Increases Risk
protein_intake,0.04812761957695831,0.000557372363604992,Increases Risk
age_group_Middle-Aged (51-65),0.046020906647049484,-0.0034494452629822586,Decreases Risk
bmi,0.040513407545712796,0.008905076991879488,Increases Risk
lifestyle_risk_score,0.038531755305522164,0.006742505184834752,Increases Risk
sleep_hours,0.03489998818221714,-0.0017763383376512753,Decreases Risk
gi_portion,0.031685559176804254,0.007866240645952755,Increases Risk
meal_time_Dinner,0.027658088110158546,0.003524704886109806,Increases Risk
meal_time_Snack,0.02631984608343236,0.004663836253371294,Increases Risk
meal_time_Lunch,0.02458216181095046,-0.0009249362109043917,Decreases Risk
bmi_category_Underweight,0.021814033793240553,-0.008444395508726537,Decreases Risk
drinks,0.016609970253799136,0.0014461743928430475,Increases Risk
alcohol_consumption_Yes,0.016609970253799136,0.0014461743928430475,Increases Risk
age_group_Young Adults (18-35),0.01470891234630372,0.002469595759956974,Increases Risk
water_intake,0.007039510704287593,0.00027488875168397124,Increases Risk
age_group_Seniors (66+),0.00597703840003667,-0.001326470926805088,Decreases Risk
fat_intake,0.0058580560666920065,-8.494394942152513e-05,Decreases Risk
age,0.003983812503160456,-0.0008931198045350572,Decreases Risk
bmi_category_Overweight,0.003804476746992939,0.0005864809998715665,Increases Risk
medication_adherence,0.0,0.0,Decreases Risk
